crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	LGPL-2.1-or-later	MIT	MPL-2.0	Unicode-3.0	Unlicense	Zlib	zlib-acknowledgement
adler32@1.2.0										X	
aho-corasick@1.1.4						X			X		
allocator-api2@0.2.21	X					X					
arc-swap@1.9.2	X					X					
async-trait@0.1.89	X					X					
autocfg@1.5.1	X					X					
base64@0.22.1	X					X					
bitflags@2.13.0	X					X					
bitpacking@0.9.3						X					
bon@3.9.3	X					X					
bon-macros@3.9.3	X					X					
bytecount@0.6.9	X					X					
bytemuck@1.25.0	X					X				X	
byteorder@1.5.0						X			X		
bytes@1.12.0						X					
cc@1.2.65	X					X					
cedarwood@0.5.0			X								
census@0.4.2						X					
cesu8@1.1.0	X					X					
cfg-if@1.0.4	X					X					
combine@4.6.7						X					
crc32fast@1.5.0	X					X					
crossbeam-channel@0.5.15	X					X					
crossbeam-deque@0.8.6	X					X					
crossbeam-epoch@0.9.20	X					X					
crossbeam-utils@0.8.21	X					X					
crunchy@0.2.4						X					
darling@0.23.0						X					
darling_core@0.23.0						X					
darling_macro@0.23.0						X					
dary_heap@0.3.9	X					X					
datasketches@0.2.0	X										
deranged@0.5.8	X					X					
downcast-rs@2.0.2	X					X					
either@1.16.0	X					X					
equivalent@1.0.2	X					X					
erased-serde@0.4.10	X					X					
errno@0.3.14	X					X					
fastdivide@0.4.2						X					X
fastrand@2.4.1	X					X					
find-msvc-tools@0.1.9	X					X					
fnv@1.0.7	X					X					
foldhash@0.2.0										X	
fs4@0.13.1	X					X					
futures-core@0.3.32	X					X					
futures-macro@0.3.32	X					X					
futures-task@0.3.32	X					X					
futures-util@0.3.32	X					X					
getrandom@0.3.4	X					X					
getrandom@0.4.3	X					X					
hashbrown@0.16.1	X					X					
htmlescape@0.3.1	X					X	X				
ident_case@1.0.1	X					X					
include-flate@0.3.3	X										
include-flate-codegen@0.3.3	X										
include-flate-compress@0.3.3	X										
inventory@0.3.24	X					X					
itertools@0.14.0	X					X					
itoa@1.0.18	X					X					
jieba-macros@0.10.1						X					
jieba-rs@0.10.1						X					
jni@0.21.1	X					X					
jni-sys@0.3.1	X					X					
jni-sys@0.4.1	X					X					
jni-sys-macros@0.4.1	X					X					
jobserver@0.1.34	X					X					
lazy_static@1.5.0	X					X					
levenshtein_automata@0.2.1						X					
libc@0.2.186	X					X					
libflate@2.3.0						X					
libflate_lz77@2.3.0						X					
linux-raw-sys@0.12.1	X	X				X					
log@0.4.33	X					X					
lru@0.16.4						X					
lz4_flex@0.13.1						X					
measure_time@0.9.0						X					
memchr@2.8.2						X			X		
memmap2@0.9.11	X					X					
minimal-lexical@0.2.1	X					X					
murmurhash32@0.3.1						X					
no_std_io2@0.9.4	X					X					
nom@7.1.3						X					
num-conv@0.2.2	X					X					
num-traits@0.2.19	X					X					
once_cell@1.21.4	X					X					
oneshot@0.1.13	X					X					
ordered-float@5.3.0						X					
ownedbytes@0.9.0						X					
paimon-ftindex-core@0.1.0	X										
paimon-ftindex-ffi@0.1.0	X										
paimon-ftindex-jni@0.1.0	X										
phf@0.13.1						X					
phf_codegen@0.13.1						X					
phf_generator@0.13.1						X					
phf_shared@0.13.1						X					
pin-project-lite@0.2.17	X					X					
pkg-config@0.3.33	X					X					
powerfmt@0.2.0	X					X					
prettyplease@0.2.37	X					X					
proc-macro-error-attr2@2.0.0	X					X					
proc-macro-error2@2.0.1	X					X					
proc-macro2@1.0.106	X					X					
quote@1.0.46	X					X					
r-efi@5.3.0	X				X	X					
r-efi@6.0.0	X				X	X					
rayon@1.12.0	X					X					
rayon-core@1.13.0	X					X					
regex@1.12.4	X					X					
regex-automata@0.4.14	X					X					
regex-syntax@0.8.11	X					X					
rle-decode-fast@1.0.3	X					X					
roaring@0.11.4	X					X					
rust-stemmers@1.2.0				X		X					
rustc-hash@2.1.3	X					X					
rustix@1.1.4	X	X				X					
rustversion@1.0.22	X					X					
same-file@1.0.6						X			X		
serde@1.0.228	X					X					
serde_core@1.0.228	X					X					
serde_derive@1.0.228	X					X					
serde_json@1.0.150	X					X					
shlex@2.0.1	X					X					
siphasher@1.0.3	X					X					
sketches-ddsketch@0.4.0	X										
slab@0.4.12						X					
smallvec@1.15.2	X					X					
stable_deref_trait@1.2.1	X					X					
strsim@0.11.1						X					
syn@2.0.118	X					X					
tantivy@0.26.1						X					
tantivy-bitpacker@0.10.0						X					
tantivy-columnar@0.7.0						X					
tantivy-common@0.11.0						X					
tantivy-fst@0.5.0						X			X		
tantivy-jieba@0.20.0						X					
tantivy-query-grammar@0.26.0						X					
tantivy-sstable@0.7.0						X					
tantivy-stacker@0.7.0						X					
tantivy-tokenizer-api@0.7.0						X					
tempfile@3.27.0	X					X					
thiserror@1.0.69	X					X					
thiserror@2.0.18	X					X					
thiserror-impl@1.0.69	X					X					
thiserror-impl@2.0.18	X					X					
time@0.3.53	X					X					
time-core@0.1.9	X					X					
typeid@1.0.3	X					X					
typetag@0.2.22	X					X					
typetag-impl@0.2.22	X					X					
unicode-ident@1.0.24	X					X		X			
utf8-ranges@1.0.5						X			X		
uuid@1.23.4	X					X					
walkdir@2.5.0						X			X		
wasip2@1.0.4+wasi-0.2.12	X	X				X					
winapi@0.3.9	X					X					
winapi-i686-pc-windows-gnu@0.4.0	X					X					
winapi-util@0.1.11						X			X		
winapi-x86_64-pc-windows-gnu@0.4.0	X					X					
windows-link@0.2.1	X					X					
windows-sys@0.45.0	X					X					
windows-sys@0.59.0	X					X					
windows-sys@0.61.2	X					X					
windows-targets@0.42.2	X					X					
windows-targets@0.52.6	X					X					
windows_aarch64_gnullvm@0.42.2	X					X					
windows_aarch64_gnullvm@0.52.6	X					X					
windows_aarch64_msvc@0.42.2	X					X					
windows_aarch64_msvc@0.52.6	X					X					
windows_i686_gnu@0.42.2	X					X					
windows_i686_gnu@0.52.6	X					X					
windows_i686_gnullvm@0.52.6	X					X					
windows_i686_msvc@0.42.2	X					X					
windows_i686_msvc@0.52.6	X					X					
windows_x86_64_gnu@0.42.2	X					X					
windows_x86_64_gnu@0.52.6	X					X					
windows_x86_64_gnullvm@0.42.2	X					X					
windows_x86_64_gnullvm@0.52.6	X					X					
windows_x86_64_msvc@0.42.2	X					X					
windows_x86_64_msvc@0.52.6	X					X					
wit-bindgen@0.57.1	X	X				X					
zmij@1.0.21						X					
zstd@0.13.3						X					
zstd-safe@7.2.4	X					X					
zstd-sys@2.0.16+zstd.1.5.7	X					X					
